timestamp,temperature_c,radiation_hits,attitude_rad
2026-08-13 17:24:13.216,22.20,123,6.100
2026-08-13 17:24:13.218,22.20,123,6.100
2026-08-13 17:24:13.220,22.20,123,6.100
2026-08-13 17:24:13.222,22.20,123,6.100
2026-08-13 17:24:13.224,22.20,123,6.100
2026-08-13 17:24:13.226,22.20,123,6.100
2026-08-13 17:24:13.227,22.20,123,6.100
2026-08-13 17:24:13.229,22.20,123,6.100
2026-08-13 17:24:13.231,22.20,123,6.100
2026-08-13 17:24:13.232,22.20,123,6.100
2026-08-13 17:24:13.234,22.20,123,6.100
2026-08-13 17:24:13.236,22.20,123,6.100
2026-08-13 17:24:13.238,22.20,123,6.100
2026-08-13 17:24:13.239,22.20,123,6.100
2026-08-13 17:24:13.241,22.20,123,6.100
2026-08-13 17:24:13.243,22.20,123,6.100
2026-08-13 17:24:13.245,22.20,123,6.100
2026-08-13 17:24:13.246,22.20,123,6.100
2026-08-13 17:24:13.248,22.20,123,6.100
2026-08-13 17:24:13.250,22.20,123,6.100
2026-08-13 17:24:13.252,22.20,123,6.100
2026-08-13 17:24:13.254,22.20,123,6.100
2026-08-13 17:24:13.256,22.20,123,6.100
2026-08-13 17:24:13.258,22.20,123,6.100
2026-08-13 17:24:13.260,22.20,123,6.100
2026-08-13 17:24:13.261,22.20,123,6.100
2026-08-13 17:24:13.263,22.20,123,6.100
2026-08-13 17:24:13.265,22.20,123,6.100
2026-08-13 17:24:13.268,22.20,123,6.100
2026-08-13 17:24:13.270,22.20,123,6.100
2026-08-13 17:24:13.272,22.20,123,6.100
2026-08-13 17:24:13.274,22.20,123,6.100
2026-08-13 17:24:13.276,22.20,123,6.100
2026-08-13 17:24:13.278,22.20,123,6.100
2026-08-13 17:24:13.280,22.20,123,6.100
2026-08-13 17:24:13.281,22.20,123,6.100
2026-08-13 17:24:13.283,22.20,123,6.100
2026-08-13 17:24:13.285,22.20,123,6.100
2026-08-13 17:24:13.287,22.20,123,6.100
2026-08-13 17:24:13.289,22.20,123,6.100
2026-08-13 17:24:13.291,22.20,123,6.100
2026-08-13 17:24:13.293,22.20,123,6.100
2026-08-13 17:24:13.294,22.20,123,6.100
2026-08-13 17:24:13.296,22.20,123,6.100
2026-08-13 17:24:13.298,22.20,123,6.100
2026-08-13 17:24:13.300,22.20,123,6.100
2026-08-13 17:24:13.301,22.20,123,6.100
2026-08-13 17:24:13.303,22.20,123,6.100
2026-08-13 17:24:13.305,22.20,123,6.100
2026-08-13 17:24:13.307,22.20,123,6.100
2026-08-13 17:24:13.309,22.20,123,6.100
2026-08-13 17:24:13.311,22.20,840972667,0.000
2026-08-13 17:24:17.441,21.50,121,0.100
2026-08-13 17:24:17.442,22.70,128,10.100
2026-08-13 17:24:17.444,23.40,122,20.100
2026-08-13 17:24:17.446,21.60,125,30.100
2026-08-13 17:24:17.448,21.90,132,4.100
2026-08-13 17:24:17.449,23.40,121,14.100
2026-08-13 17:24:18.347,22.80,120,24.100
2026-08-13 17:24:19.347,22.90,125,34.100
2026-08-13 17:24:20.347,22.60,126,8.100
2026-08-13 17:24:21.348,22.50,124,18.100
2026-08-13 17:24:22.348,23.30,121,28.100
2026-08-13 17:24:23.347,22.80,126,2.100
2026-08-13 17:24:24.347,23.40,125,12.100
2026-08-13 17:24:25.347,23.30,131,22.100
2026-08-13 17:24:26.347,22.90,134,32.100
2026-08-13 17:24:27.348,22.40,134,6.100
2026-08-13 17:24:28.348,21.80,131,16.100
2026-08-13 17:24:29.348,21.50,124,26.100
2026-08-13 17:24:30.348,23.00,124,0.100
2026-08-13 17:24:31.348,21.50,121,10.100
2026-08-13 17:24:32.348,21.60,122,20.100
2026-08-13 17:24:33.348,22.20,131,30.100
2026-08-13 17:24:34.348,22.30,122,4.100
2026-08-13 17:24:35.348,22.80,125,14.100
2026-08-13 17:24:36.348,23.40,121,24.100
2026-08-13 17:24:37.348,22.00,132,34.100
2026-08-13 17:24:38.348,21.60,123,8.100
2026-08-13 17:24:39.348,21.70,127,18.100
2026-08-13 17:24:40.348,22.40,121,28.100
2026-08-13 17:24:41.348,21.70,131,2.100
2026-08-13 17:24:42.348,21.90,123,12.100
2026-08-13 17:24:43.348,23.40,121,22.100
2026-08-13 17:24:44.348,21.70,127,32.100
2026-08-13 17:24:45.348,23.20,132,6.100
2026-08-13 17:24:46.348,22.10,129,16.100
2026-08-13 17:24:47.348,21.80,131,26.100
2026-08-13 17:24:48.348,23.00,129,0.100
2026-08-13 17:24:49.348,23.40,134,10.100
2026-08-13 17:24:50.348,22.80,133,20.100
2026-08-13 17:24:51.348,22.10,127,30.100
2026-08-13 17:24:52.348,22.70,124,4.100
2026-08-13 17:24:53.348,23.00,132,14.100
2026-08-13 17:24:54.348,22.10,122,24.100
2026-08-13 17:24:55.348,22.60,129,34.100
2026-08-13 17:24:56.348,22.50,127,8.100
2026-08-13 17:24:57.348,23.40,128,18.100
2026-08-13 17:24:58.348,23.00,122,28.100
2026-08-13 17:24:59.348,23.00,131,2.100
2026-08-13 17:25:00.348,22.00,123,12.100
2026-08-13 17:25:01.348,21.50,121,22.100
2026-08-13 17:25:02.348,23.10,120,32.100
2026-08-13 17:25:03.348,23.30,133,6.100
2026-08-13 17:25:04.348,22.10,122,16.100
2026-08-13 17:25:05.348,23.20,128,26.100
2026-08-13 17:25:06.348,22.30,123,0.100
2026-08-13 17:25:07.348,21.70,128,10.100
2026-08-13 17:25:08.348,23.00,132,20.100
2026-08-13 17:25:09.348,23.40,121,30.100
2026-08-13 17:25:10.348,22.30,120,4.100
2026-08-13 17:25:11.348,21.60,133,14.100
2026-08-13 17:25:12.348,23.00,121,24.100
2026-08-13 17:25:13.348,22.30,127,34.100
2026-08-13 17:25:14.348,21.50,133,8.100
2026-08-13 17:25:15.348,21.60,122,18.100
2026-08-13 17:25:16.348,22.70,129,28.100
2026-08-13 17:25:17.348,21.70,134,2.100
2026-08-13 17:25:18.348,23.00,125,12.100
2026-08-13 17:25:19.348,23.20,128,22.100
2026-08-13 17:25:20.348,23.00,128,32.100
2026-08-13 17:25:21.348,21.50,120,6.100
2026-08-13 17:25:22.348,21.80,121,16.100
2026-08-13 17:25:23.348,22.80,123,26.100
2026-08-13 17:25:24.348,22.80,123,0.100
2026-08-13 17:25:25.348,21.60,130,10.100
2026-08-13 17:25:26.348,22.90,123,20.100
2026-08-13 17:25:27.348,22.80,133,30.100
2026-08-13 17:25:28.348,22.60,122,4.100
2026-08-13 17:25:29.348,21.60,132,14.100
2026-08-13 17:25:30.348,22.50,130,24.100
2026-08-13 17:25:31.348,22.10,131,34.100
2026-08-13 17:25:32.348,23.00,128,8.100
